ds;y
01/01/2016;240
02/01/2016;140
03/01/2016;290
04/01/2016;210
05/01/2016;230
06/01/2016;100
07/01/2016;160
08/01/2016;290
09/01/2016;260
10/01/2016;310
11/01/2016;310
12/01/2016;240
13/01/2016;250
14/01/2016;270
15/01/2016;220
16/01/2016;230
17/01/2016;280
18/01/2016;250
19/01/2016;120
20/01/2016;200
21/01/2016;270
22/01/2016;240
23/01/2016;270
24/01/2016;240
25/01/2016;150
26/01/2016;250
27/01/2016;300
28/01/2016;280
29/01/2016;260
30/01/2016;220
31/01/2016;360
01/02/2016;170
02/02/2016;230
03/02/2016;230
04/02/2016;280
05/02/2016;300
06/02/2016;310
07/02/2016;330
08/02/2016;150
09/02/2016;220
10/02/2016;200
11/02/2016;310
12/02/2016;300
13/02/2016;210
14/02/2016;300
15/02/2016;260
16/02/2016;270
17/02/2016;240
18/02/2016;260
19/02/2016;310
20/02/2016;290
21/02/2016;220
22/02/2016;250
23/02/2016;320
24/02/2016;290
25/02/2016;330
26/02/2016;270
27/02/2016;200
28/02/2016;300
29/02/2016;250
01/03/2016;280
02/03/2016;170
03/03/2016;360
04/03/2016;370
05/03/2016;390
06/03/2016;300
07/03/2016;300
08/03/2016;370
09/03/2016;300
10/03/2016;230
11/03/2016;300
12/03/2016;320
13/03/2016;430
14/03/2016;270
15/03/2016;310
16/03/2016;330
17/03/2016;330
18/03/2016;480
19/03/2016;380
20/03/2016;380
21/03/2016;330
22/03/2016;340
23/03/2016;340
24/03/2016;330
25/03/2016;390
26/03/2016;420
27/03/2016;360
28/03/2016;330
29/03/2016;290
30/03/2016;340
31/03/2016;380
01/04/2016;480
02/04/2016;460
03/04/2016;520
04/04/2016;270
05/04/2016;340
06/04/2016;320
07/04/2016;380
08/04/2016;420
09/04/2016;420
10/04/2016;520
11/04/2016;410
12/04/2016;250
13/04/2016;440
14/04/2016;310
15/04/2016;270
16/04/2016;410
17/04/2016;460
18/04/2016;320
19/04/2016;390
20/04/2016;520
21/04/2016;360
22/04/2016;300
23/04/2016;460
24/04/2016;370
25/04/2016;260
26/04/2016;340
27/04/2016;280
28/04/2016;320
29/04/2016;340
30/04/2016;400
01/05/2016;490
02/05/2016;410
03/05/2016;360
04/05/2016;400
05/05/2016;450
06/05/2016;530
07/05/2016;480
08/05/2016;510
09/05/2016;360
10/05/2016;440
11/05/2016;450
12/05/2016;400
13/05/2016;420
14/05/2016;520
15/05/2016;570
16/05/2016;340
17/05/2016;400
18/05/2016;360
19/05/2016;470
20/05/2016;440
21/05/2016;390
22/05/2016;460
23/05/2016;370
24/05/2016;380
25/05/2016;370
26/05/2016;380
27/05/2016;360
28/05/2016;430
29/05/2016;410
30/05/2016;340
31/05/2016;320
01/06/2016;330
02/06/2016;330
03/06/2016;400
04/06/2016;470
05/06/2016;510
06/06/2016;400
07/06/2016;450
08/06/2016;450
09/06/2016;370
10/06/2016;380
11/06/2016;400
12/06/2016;500
13/06/2016;210
14/06/2016;350
15/06/2016;390
16/06/2016;480
17/06/2016;490
18/06/2016;440
19/06/2016;540
20/06/2016;280
21/06/2016;470
22/06/2016;370
23/06/2016;520
24/06/2016;530
25/06/2016;390
26/06/2016;600
27/06/2016;390
28/06/2016;410
29/06/2016;330
30/06/2016;480
01/07/2016;470
02/07/2016;580
03/07/2016;510
04/07/2016;390
05/07/2016;490
06/07/2016;450
07/07/2016;560
08/07/2016;470
09/07/2016;490
10/07/2016;470
11/07/2016;410
12/07/2016;400
13/07/2016;490
14/07/2016;440
15/07/2016;540
16/07/2016;640
17/07/2016;550
18/07/2016;370
19/07/2016;440
20/07/2016;360
21/07/2016;450
22/07/2016;500
23/07/2016;570
24/07/2016;480
25/07/2016;290
26/07/2016;410
27/07/2016;360
28/07/2016;330
29/07/2016;390
30/07/2016;590
31/07/2016;520
01/08/2016;280
02/08/2016;350
03/08/2016;390
04/08/2016;380
05/08/2016;470
06/08/2016;490
07/08/2016;440
08/08/2016;250
09/08/2016;320
10/08/2016;340
11/08/2016;310
12/08/2016;470
13/08/2016;430
14/08/2016;530
15/08/2016;270
16/08/2016;330
17/08/2016;390
18/08/2016;370
19/08/2016;420
20/08/2016;540
21/08/2016;510
22/08/2016;290
23/08/2016;280
24/08/2016;330
25/08/2016;380
26/08/2016;480
27/08/2016;620
28/08/2016;510
29/08/2016;370
30/08/2016;480
31/08/2016;370
01/09/2016;480
02/09/2016;420
03/09/2016;440
04/09/2016;440
05/09/2016;280
06/09/2016;300
07/09/2016;360
08/09/2016;300
09/09/2016;420
10/09/2016;490
11/09/2016;410
12/09/2016;250
13/09/2016;290
14/09/2016;470
15/09/2016;280
16/09/2016;280
17/09/2016;430
18/09/2016;370
19/09/2016;280
20/09/2016;300
21/09/2016;350
22/09/2016;430
23/09/2016;460
24/09/2016;470
25/09/2016;450
26/09/2016;340
27/09/2016;340
28/09/2016;480
29/09/2016;330
30/09/2016;420
01/10/2016;320
02/10/2016;480
03/10/2016;280
04/10/2016;340
05/10/2016;520
06/10/2016;430
07/10/2016;330
08/10/2016;390
09/10/2016;450
10/10/2016;330
11/10/2016;220
12/10/2016;300
13/10/2016;310
14/10/2016;380
15/10/2016;400
16/10/2016;330
17/10/2016;300
18/10/2016;330
19/10/2016;360
20/10/2016;190
21/10/2016;330
22/10/2016;410
23/10/2016;340
24/10/2016;270
25/10/2016;290
26/10/2016;330
27/10/2016;290
28/10/2016;480
29/10/2016;450
30/10/2016;410
31/10/2016;270
01/11/2016;330
02/11/2016;370
03/11/2016;360
04/11/2016;300
05/11/2016;350
06/11/2016;450
07/11/2016;360
08/11/2016;560
09/11/2016;270
10/11/2016;300
11/11/2016;360
12/11/2016;390
13/11/2016;570
14/11/2016;330
15/11/2016;430
16/11/2016;330
17/11/2016;400
18/11/2016;330
19/11/2016;390
20/11/2016;380
21/11/2016;370
22/11/2016;310
23/11/2016;370
24/11/2016;330
25/11/2016;470
26/11/2016;520
27/11/2016;480
28/11/2016;300
29/11/2016;270
30/11/2016;280
01/12/2016;340
02/12/2016;250
03/12/2016;280
04/12/2016;350
05/12/2016;320
06/12/2016;150
07/12/2016;330
08/12/2016;350
09/12/2016;330
10/12/2016;400
11/12/2016;470
12/12/2016;190
13/12/2016;210
14/12/2016;330
15/12/2016;290
16/12/2016;280
17/12/2016;210
18/12/2016;400
19/12/2016;170
20/12/2016;200
21/12/2016;240
22/12/2016;260
23/12/2016;300
24/12/2016;360
25/12/2016;300
26/12/2016;260
27/12/2016;260
28/12/2016;180
29/12/2016;260
30/12/2016;270
31/12/2016;310
01/01/2017;290
02/01/2017;170
03/01/2017;240
04/01/2017;210
05/01/2017;340
06/01/2017;270
07/01/2017;270
08/01/2017;340
09/01/2017;150
10/01/2017;220
11/01/2017;130
12/01/2017;240
13/01/2017;290
14/01/2017;200
15/01/2017;350
16/01/2017;120
17/01/2017;290
18/01/2017;290
19/01/2017;200
20/01/2017;190
21/01/2017;300
22/01/2017;310
23/01/2017;230
24/01/2017;190
25/01/2017;260
26/01/2017;210
27/01/2017;280
28/01/2017;370
29/01/2017;230
30/01/2017;260
31/01/2017;240
